country,region,year,sector,population,gdp_billion_usd,co2_emissions_million_tons,scenario
Canada,North America,2003,Residential,804261004.0,1116807.1930317217,1460.1,Policy_Reduction
Italy,Europe,2009,Transport,1097212890.0,2143141.14,4972.24,Baseline
Mexico,North America,2005,Industry,277845589.0,223462.33241965136,830.11,Policy_Reduction
India,Asia,1997,Transport,,1563310.68,2217.2,Baseline
Australia,Oceania,2001,Transport,,247242.95,1713.42,Baseline
Russia,Europe,2013,Industry,1474389018.0,2350898.3330600513,,Policy_Reduction
Australia,Oceania,2007,Transport,642659702.0,282652.6,1670.36,Baseline
Italy,Europe,1998,Residential,925564796.0,1345878.282579947,1749.51,High_Growth
Russia,Europe,1999,Transport,1289238809.0,1655598.1777526625,637.09,Renewable_Transition
Russia,Europe,2005,Energy,1322613811.0,2526184.7994336616,2392.11,High_Growth
United States,North America,2011,Transport,1453985758.0,,1285.81,Baseline
Turkey,Middle East,2014,Transport,355622737.0,1897196.2378016089,4667.34,High_Growth
Russia,Europe,2008,Industry,1393402392.0,3109131.97,1770.83,Baseline
Italy,Europe,2011,Transport,,2290978.596232589,1573.68,Renewable_Transition
Canada,North America,2006,Agriculture,846162799.0,1402112.1312520602,625.78,Policy_Reduction
Pakistan,Asia,2005,Transport,1448774832.0,,685.73,Baseline
Indonesia,Asia,2014,Agriculture,659332315.0,,1125.46,Renewable_Transition
India,Asia,2019,Residential,2189388839.0,5108024.669896812,2995.14,Policy_Reduction
Germany,Europe,2003,Residential,257833453.0,3280172.947755079,1285.62,High_Growth
Pakistan,Asia,2000,Residential,1472087447.0,,445.34,Baseline
South Korea,Asia,2012,Industry,1295814578.0,2989770.18498898,1946.81,Renewable_Transition
ARGENTINA,South America,2017,Industry,715942099.0,6503764.604537992,,Policy_Reduction
Malaysia,Asia,1999,Energy,1483048087.0,2132052.742583898,3473.28,Renewable_Transition
France,Europe,2000,Residential,1321006104.0,805942.996587869,753.85,Renewable_Transition
Brazil,South America,2018,Energy,487662384.0,,11991.16,Policy_Reduction
Pakistan,Asia,2001,Transport,1441677358.0,2832663.2543034507,952.85,High_Growth
Thailand,Asia,1998,Agriculture,34653381.0,3481955.6014398476,141.12,High_Growth
Vietnam,Asia,2021,Industry,413210620.0,2714207.12,1561.19,Baseline
Saudi Arabia,Middle East,2003,Transport,1387407531.0,,338.53,Baseline
Thailand,Asia,2018,Agriculture,50212700.0,4714866.64,236.05,Baseline
IRAN,Asia,2003,Transport,894014904.0,678717.6974870262,395.62,Policy_Reduction
Japan,Asia,2021,Transport,579081073.0,5170015.39,3518.37,Baseline
UAE,Asia,2021,Energy,864259616.0,4714826.1563234,4782.74,Renewable_Transition
Brazil,South America,2006,Agriculture,449094170.0,3840254.585343506,1169.45,High_Growth
Turkey,Middle East,2004,Industry,308770965.0,978635.29,3513.74,Baseline
Nigeria,Africa,2000,Transport,1432388027.0,2320469.075957721,98.8,High_Growth
Iran,Asia,2005,Energy,,,940.94,Baseline
Thailand,Asia,2017,Residential,51291976.0,7953555.412022282,257.1,High_Growth
Russia,Europe,2009,Agriculture,1538481528.0,2197291.257664922,468.48,Policy_Reduction
Italy,Europe,2006,Residential,,1663090.0485453405,1392.05,Policy_Reduction
Egypt,Africa,2020,Transport,1568867132.0,4083742.5491772257,529.36,Renewable_Transition
Egypt,Africa,1995,Industry,1009736337.0,2362435.0,435.23,Baseline
Nigeria,Africa,2000,Industry,1432388027.0,2041628.71,118.09,Baseline
Egypt,Africa,2024,Industry,1314403149.0,5683865.661791575,567.4,High_Growth
Malaysia,Asia,2022,Industry,1585190813.0,,5788.17,Renewable_Transition
Saudi Arabia,Middle East,2003,Industry,1387407531.0,2964609.380676346,329.51,High_Growth
France,Europe,2005,Industry,1293541995.0,1007979.9511421309,2393.25,Policy_Reduction
Argentina,South America,2010,Residential,677948957.0,5593296.605982596,,High_Growth
Japan,Asia,1997,Agriculture,409848016.0,2275169.07,902.39,Baseline
Italy,Europe,2004,Industry,953280954.0,1413274.308818262,3685.76,Renewable_Transition
India,Asia,2015,Agriculture,1702119532.0,3256260.78,,Baseline
Bangladesh,Asia,2016,Energy,2038427896.0,417504.57,8857.16,Baseline
Spain,Europe,2000,Energy,601483498.0,1899723.2237945765,5656.83,High_Growth
Vietnam,Asia,2009,Residential,323267906.0,,737.0,Renewable_Transition
UAE,Asia,1995,Industry,755257736.0,1713871.445452292,2306.84,Policy_Reduction
Spain,Europe,2001,Residential,601687953.0,1734003.02,1148.15,Baseline
Canada,North America,2020,Industry,1135420594.0,2293337.764901039,3834.73,High_Growth
ITALY,Europe,2019,Transport,1195135159.0,2022191.76,4784.74,Baseline
Australia,Oceania,2019,Energy,739430367.0,346432.93106309767,6090.42,Renewable_Transition
South Korea,Asia,2000,Agriculture,1240676172.0,2145400.3754587676,333.72,Policy_Reduction
India,Asia,1998,Energy,1432011681.0,,5985.59,High_Growth
Thailand,Asia,2020,Residential,,6782556.93,386.21,Baseline
Malaysia,Asia,2008,Agriculture,1670936998.0,3870016.2206012583,822.24,High_Growth
Saudi Arabia,Middle East,2005,Industry,1325168607.0,3341765.923163511,237.25,Renewable_Transition
Bangladesh,Asia,2007,Industry,1693727089.0,414492.25419155223,3564.21,Policy_Reduction
Vietnam,Asia,1995,Agriculture,274780516.0,627646.3266989482,539.89,Policy_Reduction
Thailand,Asia,2010,Energy,44839424.0,5820794.490003049,987.05,Renewable_Transition
Japan,Asia,1995,Agriculture,403723379.0,2176927.5949053313,696.16,Renewable_Transition
Iran,Asia,2001,Energy,896353062.0,574387.3485264609,936.01,High_Growth
China,Asia,2021,Residential,203598881.0,3213838.46,453.35,Baseline
INDIA,Asia,2020,Transport,,4807483.57,4322.5,Baseline
Pakistan,Asia,2012,Industry,1895841595.0,3983948.755642464,2469.29,High_Growth
Iran,Asia,2000,Agriculture,888075915.0,524828.2883141972,111.61,Renewable_Transition
Germany,Europe,2004,Industry,259595862.0,3268627.4798471853,3161.5,Renewable_Transition
Malaysia,Asia,2004,Agriculture,1495756190.0,,686.24,Renewable_Transition
France,Europe,2011,Energy,1604823086.0,1750102.3042799195,3944.8,High_Growth
NIGERIA,Africa,2003,Industry,1495826109.0,2432859.641393525,122.93,Policy_Reduction
Germany,Europe,2005,Energy,267984801.0,,5725.23,High_Growth
